CID,f_activity,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
LON-WEI-4d77710c-1,0,12.39811610292265,-0.3854861111111101,12.39811610292265,0.11326378503420174,0.7265272442315731,367.40500000000014,346.23700000000014,367.153206152,140,0,0.3190689122735317,-0.4967519708311019,0.4967519708311019,0.3190689122735317,1.0740740740740742,1.8148148148148149,2.5185185185185186,16.470964919889592,10.128536933424328,2.1083426125982108,-2.1344402339578723,2.238306600935585,-2.290545486359802,6.004313937643304,0.2513357248043068,1.7870880138088263,1043.0665376509273,19.38854057813175,15.406115692058965,15.406115692058965,13.028407103102724,8.373178501536124,8.373178501536124,5.989870890149404,5.989870890149404,4.265902979588551,4.265902979588551,2.8779811544706546,2.8779811544706546,-3.4799999999999995,1313342.5240906074,18.31524572282112,7.819723238268218,3.866890080149074,156.0743509231384,24.67440276340411,11.49902366656781,0.0,0.0,5.559266895052008,6.031114512338072,4.794537184071822,4.794537184071822,0.0,0.0,18.199101205384828,24.26546827384644,36.12517188082943,19.906981357238628,14.268263091671919,22.49094921595123,0.0,9.883888251797686,7.0476719826771905,6.544756405912576,19.536383686561397,64.57866862166517,0.0,11.49902366656781,25.666570010664767,10.481923458755382,11.49902366656781,0.0,24.81780924268449,13.592428388589767,0.0,5.563451491696997,53.45595023491617,0.0,10.772448428929591,0.0,81.59,0.0,9.589074368143644,0.0,18.135137813302656,27.95885837018097,5.563451491696997,4.5670996477913555,63.862313047615,6.06636706846161,10.633577208012662,9.473725907600098,11.977228925529582,0.0,24.61489987001288,6.844665245268601,1.2340759888383108,1.3339992287854845,12.158069695856492,1.607515169648106,0.25982473544973583,4.803054473944139,0.2,27,2,7,0,0,0,2,1,3,5,2,7,5,0,0,0,3,2.877400000000001,104.5934,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LON-WEI-4d77710c-2,1,14.078682584993233,-4.475363100487108,14.078682584993233,0.157137726124017,0.4096440580884028,475.49400000000014,460.37400000000014,475.03597102,164,0,0.258135110041775,-0.42316803066132297,0.42316803066132297,0.258135110041775,0.78125,1.40625,2.0625,32.23131072712232,10.200083555431318,2.3540667426096737,-2.0569882339401384,2.3319211122832177,-2.1154462355978785,7.936313725267477,0.4438855990142058,1.902220897946445,1481.085456291638,22.932510652501765,16.27354085541714,17.906534017272588,15.181507108787185,9.2140950632821,12.349523537196653,6.785505415670151,10.539443541615263,4.552134709946652,7.892546082619806,2.971395711263435,6.176534602110485,-3.37,17442562.681096993,21.846644115303718,8.285422867887963,4.187936296899844,182.5634726665346,4.417150937053346,11.63444168209179,0.0,30.591190173530155,5.092279402695223,0.0,0.0,25.616424064007514,4.9839785209472085,0.0,36.398202410769656,42.46456947923127,11.126902983393993,10.648337082264565,30.033575001060857,19.674506272835004,0.0,4.9839785209472085,0.0,20.766576463629033,0.0,96.06066506378973,0.0,11.454175413722904,0.0,8.78083009534964,0.0,0.0,21.81957248960509,25.427359879581793,11.63444168209179,5.563451491696997,98.29364568393656,0.0,11.454175413722904,0.0,94.31,47.180040943038044,25.616424064007514,0.0,21.913110380937677,0.0,18.199101205384828,54.59730361615449,6.06636706846161,0.0,4.9839785209472085,4.417150937053346,85.41944029831505,0.0,3.7452744708994716,-1.733059807256235,0.012541296719688731,-2.4787559528992045,17.078952567111127,0.0,0.0,-8.87772620622323,0.045454545454545456,32,0,6,0,0,0,3,1,4,6,0,10,6,0,0,0,4,4.4265000000000025,111.0806,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
LON-WEI-4d77710c-4,0,12.697955904523885,-0.3616184807256231,12.697955904523885,0.0495026035105397,0.586837542127188,428.33000000000015,406.15400000000017,427.089539044,140,0,0.3232775296866067,-0.3126361969279024,0.3232775296866067,0.3126361969279024,1.0740740740740742,1.7407407407407407,2.4074074074074074,79.91873123931899,10.113482270797313,2.124361589337343,-2.152315785101216,2.246170851185717,-2.2524261431412698,9.103697507072583,0.2618560726988628,1.94240604210144,1056.9663425912838,19.551677284948283,15.544933853330093,17.130930392444792,12.846244348298507,8.812272084822592,9.605270354379943,7.002144222510537,7.856481121685056,4.176274009869299,4.832361341654481,2.9692044904793415,3.5615809128910487,-2.599999999999999,987758.0125134595,19.169628099173558,7.962500000000002,4.3912635840613685,166.0797501841626,15.200676855804016,0.0,0.0,0.0,5.559266895052008,6.031114512338072,4.794537184071822,4.794537184071822,0.0,0.0,38.112942673227685,52.534139840883185,27.986767922287655,11.374772549367124,4.794537184071822,44.10827938858414,0.0,4.5670996477913555,5.917906046161393,27.31596800498445,10.633577208012662,69.05138813749761,0.0,0.0,16.19284410306467,16.169309733438947,0.0,15.929943897949347,10.598214160129428,6.544756405912576,12.841643245852016,19.410925891078247,57.928669750748575,0.0,10.772448428929591,0.0,63.13,0.0,9.589074368143644,0.0,11.59038140739008,29.22365921590589,15.422395221994204,0.0,16.830310287866038,43.32193961046029,40.41099550534326,0.0,2.4694517778798084,3.4611476427245726,25.248643892682107,7.0397082128880015,2.329275786844711,0.31393754824348497,12.662307942728667,1.7166991974258838,6.675494665249424,0.0,0.2380952380952381,27,2,5,0,0,0,2,1,3,3,2,6,4,0,0,0,3,5.3724200000000035,114.56640000000004,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LON-WEI-4d77710c-5,0,12.394200286596119,-0.4296093159486014,12.394200286596119,0.11902876862431187,0.7546187130473839,353.37800000000016,334.2260000000001,353.13755608800005,134,0,0.3232446865488813,-0.4928675350435237,0.4928675350435237,0.3232446865488813,0.9615384615384616,1.6538461538461535,2.3461538461538463,16.50785654841626,10.129335691694843,2.109411352744348,-2.1295160259937687,2.295208961957961,-2.2253429456032245,6.054101349435812,0.2618566644778065,1.8624199179527456,1026.9582360019608,18.681433796945207,14.699008910872418,14.699008910872418,12.528407103102722,7.916071720349574,7.916071720349574,5.653302736040581,5.653302736040581,3.9803466645254932,3.9803466645254932,2.7145348332022405,2.7145348332022405,-3.4799999999999995,784073.5745750824,17.346505113513892,7.182093681519357,3.32120282539594,149.70940880874187,24.67440276340411,0.0,11.49902366656781,0.0,5.559266895052008,6.031114512338072,4.794537184071822,4.794537184071822,0.0,0.0,18.199101205384828,18.199101205384828,35.77071732636503,19.906981357238628,14.268263091671919,28.17833549063479,0.0,4.5670996477913555,7.0476719826771905,0.0,24.85317229056773,59.01521712996818,0.0,11.49902366656781,25.666570010664767,16.169309733438947,11.49902366656781,0.0,24.81780924268449,7.0476719826771905,0.0,0.0,53.45595023491617,0.0,10.772448428929591,0.0,81.59,6.031114512338072,9.589074368143644,0.0,5.559266895052008,33.64624464486453,0.0,11.676897189068887,56.75251550633745,6.06636706846161,10.633577208012662,9.473725907600098,11.846098445559818,0.0,24.591285086145508,6.7473452415222805,0.9735196010321928,1.0836751547114107,11.78008222951096,1.5960828189300411,0.0,4.715244755921128,0.15789473684210525,26,2,7,0,0,0,2,1,3,5,2,7,4,0,0,0,3,3.1997000000000018,101.37640000000003,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LON-WEI-4d77710c-6,0,12.30839663643235,-0.4541628873771722,12.30839663643235,0.07582262187601252,0.7200964285644007,335.36300000000006,318.2270000000001,335.126991404,126,0,0.32324288134807444,-0.3159602994326564,0.32324288134807444,0.3159602994326564,0.96,1.68,2.4,16.162058425480645,10.123341021348232,2.1003239140483942,-2.1179558921451807,2.2022953941346324,-2.2260352258640124,6.058936525885753,0.10129278477430917,1.8790011174223693,1037.5089189792006,17.974327015758654,13.868110889598182,13.868110889598182,11.952397498181154,7.72878432752325,7.72878432752325,5.720531014193711,5.720531014193711,3.8659035812448166,3.8659035812448166,2.6164967205920977,2.6164967205920977,-3.4099999999999997,442074.2539597261,16.447862009987272,6.604258967706702,3.4235442198436408,143.64384044977183,15.200676855804016,0.0,5.783244946364938,0.0,5.559266895052008,6.031114512338072,9.589074368143644,4.794537184071822,0.0,0.0,30.33183534230805,25.12283840507545,35.267801749600416,5.687386274683562,9.589074368143644,33.961580436999725,0.0,4.5670996477913555,7.0476719826771905,6.923737199690624,10.633577208012662,70.6450356901268,0.0,0.0,16.19284410306467,16.169309733438947,0.0,0.0,16.381459106494365,7.0476719826771905,0.0,17.28172587545944,59.52231730337778,0.0,10.772448428929591,0.0,80.2,6.031114512338072,14.383611552215465,0.0,11.342511841416949,27.710672469993714,0.0,11.49083684748198,61.77545210198315,0.0,10.633577208012662,0.0,1.4249197074503712,0.0,35.89922580085202,6.644333377494452,1.4290029707679426,-0.07582262187601252,13.330890220524442,1.5796013374485596,1.4680568769533622,1.633125663718196,0.10526315789473684,25,2,6,0,0,0,2,1,3,4,2,6,3,0,0,0,3,3.3851000000000013,98.2769,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LON-WEI-4d77710c-8,1,12.802152392994746,-4.1043652499580086,12.802152392994746,0.0388670267489708,0.5025630333806169,468.5090000000001,448.34900000000016,468.06610759999984,166,0,0.3401272003014412,-0.4623270381131669,0.4623270381131669,0.3401272003014412,1.1290322580645162,1.8064516129032255,2.3225806451612905,32.234629574773834,10.109399541026917,2.308280248634384,-2.192418893263043,2.325760513309324,-2.3552319616903947,7.924682694938773,0.052739829062382865,2.33523896003038,1384.2779534766114,23.137463722575184,17.14811849196285,18.781111653818304,14.374245891192095,8.984095240343088,12.680718478872096,6.719581732614473,10.381958873604097,4.4284865032807055,6.6022668704753364,3.352786126973223,5.34574835066958,-3.12,5307046.605701606,22.562650279834198,7.8532518430579366,4.077558509243026,178.65619271438686,9.154013890853397,0.0,5.760247418874442,20.046582306815168,0.0,11.876485017303354,4.794537184071822,29.907753052263047,0.0,0.0,0.0,44.1793097416893,11.080152209313257,42.149121811171604,35.57868222765491,48.51337853088314,0.0,3.9724059082371115,0.0,13.847474399381248,23.42363632283196,53.612625243367006,0.0,0.0,4.305215991296234,5.687386274683562,0.0,0.0,51.80290522573407,24.783445260615217,6.923737199690624,33.530438473254165,41.01214927500045,0.0,10.902924932081056,0.0,132.96,31.923067324118524,26.42466833680152,0.0,40.214820076697436,4.305215991296234,16.48394427525992,43.51873553763773,6.923737199690624,0.0,0.0,9.154013890853397,61.11440733381277,0.0,25.37646023653441,0.12478694255480005,0.1228624968505938,-1.9188482559958475,6.617229106454844,3.0496758012076373,3.0903738243078074,-7.910280819060353,0.2631578947368421,31,0,10,0,0,0,1,2,3,9,0,12,6,0,0,0,3,2.13352,113.23460000000004,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LON-WEI-4d77710c-9,0,12.607956117338786,-0.4507416855631139,12.607956117338786,0.06723684831549147,0.7592537587739617,340.3830000000001,320.22300000000007,340.1535405,130,0,0.3245029385884449,-0.3595406607116948,0.3595406607116948,0.3245029385884449,1.24,1.96,2.6,16.460901217490974,10.11381500241731,2.1250535688031102,-2.1430008997816348,2.2093726143367047,-2.2520994984780405,6.0497182765944455,0.2615969621152321,1.9498792965269391,971.8567852827733,17.974327015758654,14.367730727905435,14.367730727905435,11.935560745775545,8.072911374611987,8.072911374611987,6.341646194963922,6.341646194963922,3.6730527719253416,3.6730527719253416,2.6670128056055504,2.6670128056055504,-3.09,489861.495801381,16.756807901021553,6.801377106626272,3.7072423731155633,144.17753612931398,14.406983188771033,5.760247418874442,5.817862777835027,0.0,5.559266895052008,6.031114512338072,10.111325788078151,4.794537184071822,0.0,0.0,37.20323886189152,18.90801031431363,29.580415474916855,5.687386274683562,9.31763212104517,28.30881199378625,0.0,9.7237629049168,5.917906046161393,27.31596800498445,10.633577208012662,52.6427304119194,0.0,0.0,16.19284410306467,16.29978623659041,0.0,0.0,15.754877417254873,6.544756405912576,12.841643245852016,19.60772181825569,45.8463110349663,0.0,10.772448428929591,0.0,89.16000000000003,6.031114512338072,9.589074368143644,0.0,5.559266895052008,40.50060735239659,0.0,0.0,29.82041455601827,32.046575604766076,15.790240465138107,4.523094936973347,6.554311661329157,0.0,24.869920088112284,10.390486419111062,0.4962509634758918,1.2358191006991512,8.388894990541367,1.6788626700680271,6.385454106663072,0.0,0.2777777777777778,25,2,7,0,0,0,1,2,3,5,2,7,4,0,0,0,3,3.597920000000002,96.92740000000002,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LON-WEI-4d77710c-10,1,12.649889845795364,-3.851331186291728,12.649889845795364,0.04458538044847527,0.5809954949916659,445.8840000000001,429.75600000000014,445.04991929199997,154,0,0.27137522476009,-0.4535954749121018,0.4535954749121018,0.27137522476009,1.0666666666666669,1.8333333333333333,2.6333333333333333,35.495692561786754,10.169269605186486,2.228568921124329,-2.0867714248125258,2.3199957592437546,-2.2506583436410086,7.9001971367986785,0.09447340591259916,1.5009423921165217,1202.3187452579598,21.139617433688308,15.5393541730586,17.11177970000478,14.420653420525285,8.881909618157389,10.912139317486773,6.464096104530664,8.754615489743326,4.304811091266775,6.047818438316652,2.83519827391519,4.2161330532679155,-3.1699999999999995,8294038.630339371,20.116988993052487,8.289625367939694,4.365856854285308,177.305964148909,14.790514511606428,0.0,17.19295166141627,21.786631924338035,5.9071797293515065,0.0,4.794537184071822,18.385754026223353,0.0,0.0,47.99914230100218,23.259637120317212,6.544756405912576,16.972330492101193,22.686060076000857,27.345372756001524,0.0,15.284745645900747,0.0,17.45404649448007,6.792942306099827,76.57124441128973,0.0,11.49902366656781,14.790514511606428,0.0,11.49902366656781,11.600939890232516,31.08587606167469,22.134863149076867,0.0,21.615368162314272,59.884216601126674,5.022633313741326,0.0,0.0,107.48,20.900869347589715,13.212334168400757,0.0,29.80711362734898,17.062475158264807,11.760295063310073,0.0,48.53093654769288,0.0,15.284745645900747,21.074665797832612,35.85892731038867,6.042643804452366,20.301250408425286,2.1715393384039667,1.1514884373499552,0.3312990017761928,13.919038797204587,1.1130161389369542,0.3232390604648665,-3.851331186291728,0.15,30,1,8,0,1,1,2,1,3,7,1,10,6,0,0,0,4,2.7626000000000013,108.10900000000002,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LON-WEI-4d77710c-11,1,12.75583007894516,-4.099704756130847,12.75583007894516,0.056783693415637375,0.5325250347666374,454.48200000000014,436.33800000000025,454.0504575359999,160,0,0.3398615134732209,-0.4653532384502214,0.4653532384502214,0.3398615134732209,1.1,1.7666666666666666,2.2666666666666666,32.234629418380514,10.109998822213065,2.30716153715336,-2.1922529039788103,2.32468395636012,-2.355221222942177,7.924681622399769,0.060170085745937574,2.3499772805187056,1367.17143989511,22.43035694138864,16.441011710776305,18.07400487263176,13.874245891192095,8.396561615025593,12.093184853554595,6.490693175954183,10.153070316943813,4.338449993185015,6.512230360379647,3.2515850671929036,5.244547290889259,-3.12,3346875.333340969,21.585565488294286,7.289367028154082,3.5883430452770813,172.29125059999024,9.154013890853397,0.0,5.760247418874442,20.046582306815168,0.0,11.876485017303354,4.794537184071822,29.907753052263047,0.0,0.0,0.0,37.255572541998674,11.080152209313257,42.65203738793622,35.57868222765491,48.51337853088314,0.0,3.9724059082371115,0.0,6.923737199690624,23.92655189959657,53.612625243367006,0.0,0.0,4.305215991296234,5.687386274683562,0.0,0.0,52.30582080249869,24.783445260615217,6.923737199690624,26.606701273563537,41.01214927500045,0.0,10.902924932081056,0.0,132.96,31.923067324118524,26.42466833680152,0.0,33.60793811218452,4.305215991296234,23.593741816537445,43.51873553763773,0.0,0.0,0.0,9.154013890853397,60.554763961962955,0.0,25.098887922484828,0.11404620181405932,0.08212317334341357,-1.9586551634542704,6.577719182306121,3.033391078985415,1.4259034207818928,-6.761513111557753,0.2222222222222222,30,0,10,0,0,0,1,2,3,9,0,12,5,0,0,0,3,1.7434200000000004,108.61760000000002,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LON-WEI-4d77710c-12,0,12.341837084772694,-0.4558455897791205,12.341837084772694,0.13322935690457038,0.6939637005421355,365.38900000000007,346.23700000000014,365.13755608800005,138,0,0.3376097311294442,-0.4623913115187347,0.4623913115187347,0.3376097311294442,1.0,1.6666666666666667,2.333333333333333,16.532165125082738,10.129022104019892,2.10542220198164,-2.117315210348739,2.201816981559214,-2.225550060525822,6.054943535632644,0.052612964694521314,1.7685594052754716,1055.0050404305923,19.38854057813175,14.98346596124859,14.98346596124859,12.99040230064194,8.428690388536541,8.428690388536541,5.881360653109349,5.881360653109349,3.9928405922620103,3.9928405922620103,2.7046277472438622,2.7046277472438622,-3.609999999999999,1239916.093795467,18.18917524506629,7.735912548109957,3.97536766501732,155.12232779367528,19.937539809604065,0.0,0.0,0.0,5.559266895052008,12.000419800289922,4.794537184071822,9.589074368143644,0.0,0.0,18.199101205384828,37.255572541998674,29.704350257903425,17.857719730893475,14.325937321943693,34.147640778586634,0.0,4.5670996477913555,7.0476719826771905,6.923737199690624,17.24045917252558,70.6450356901268,0.0,0.0,16.19284410306467,16.169309733438947,0.0,0.0,23.174401412594193,11.78453493647724,0.0,17.28172587545944,59.52231730337778,0.0,10.772448428929591,0.0,89.42999999999998,12.000419800289922,14.383611552215465,0.0,5.559266895052008,34.317554434506626,0.0,4.5670996477913555,68.69918930167377,0.0,10.633577208012662,4.736862953800049,6.345849467949972,0.0,36.182925104798045,6.640697722020532,1.3203626156971435,-0.4118758620135365,13.00925088710248,1.5774795514063191,2.0377249970038607,1.6309188493685247,0.15,27,2,7,0,0,0,2,1,3,5,2,7,4,0,0,0,3,3.3592000000000017,104.2289,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
